Order_ID,Date,Region,Product_Category,Product_Name,Quantity,Sales,Discount,Profit,Customer_Type
1001,2023-01-15,North,Electronics,Laptop,2,1200.50,0.10,150.00,Returning
1002,2023-01-16,South,Office Supplies,Desk Chair,5,,0.05,45.20,New
1003,2023-01-16,East,Furniture,Sofa,1,850.00,0.00,120.50,Returning
1004,2023-01-17,West,Electronics,Smartphone,3,899.99,0.15,-50.00,New
1005,2023-01-18,North,Office Supplies,Printer Paper,,45.00,0.00,12.00,Returning
1003,2023-01-16,East,Furniture,Sofa,1,850.00,0.00,120.50,Returning
1006,2023-01-19,South,Electronics,Tablet,4,600.00,,80.00,New
1007,2023-01-20,East,Furniture,Dining Table,1,1100.00,0.20,200.00,
1008,2023-01-21,West,Office Supplies,Pens,10,15.50,0.00,5.50,Returning
1009,2023-01-22,North,Electronics,Monitor,2,,0.10,60.00,New
1010,2023-01-22,South,Furniture,Bookshelf,2,250.00,0.05,35.00,Returning
1011,2023-01-23,East,Office Supplies,Stapler,5,25.00,0.00,8.00,New
1012,2023-01-24,West,Electronics,Headphones,,150.00,0.10,25.00,Returning
1013,2023-01-25,North,Furniture,Bed Frame,1,500.00,0.15,75.00,Returning
1001,2023-01-15,North,Electronics,Laptop,2,1200.50,0.10,150.00,Returning
